ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
203941,Rajasthan,Jodhpur,Locality_269,Villa,1,3048,382.52,0.13,2010,Unfurnished,2,23,15,8,5,High,No,Yes,"Gym, Clubhouse, Pool, Playground",North,Owner,Under_Construction
203942,Bihar,Patna,Locality_415,Villa,4,2685,314.26,0.12,2003,Unfurnished,6,13,22,6,4,Low,No,No,"Clubhouse, Pool, Garden, Gym, Playground",East,Broker,Ready_to_Move
203943,Tamil Nadu,Chennai,Locality_99,Independent House,4,2840,288.61,0.1,1992,Unfurnished,22,3,33,10,9,Low,Yes,No,"Pool, Playground, Clubhouse, Garden, Gym",North,Builder,Ready_to_Move
203944,Gujarat,Surat,Locality_341,Villa,3,1135,73.72,0.06,1991,Semi-furnished,26,20,34,7,4,Medium,Yes,Yes,"Pool, Clubhouse, Gym",South,Builder,Ready_to_Move
203945,Telangana,Warangal,Locality_113,Independent House,1,1635,337.28,0.21,2021,Unfurnished,25,13,4,2,10,Low,Yes,Yes,"Gym, Playground, Clubhouse, Pool, Garden",East,Builder,Ready_to_Move
203946,Gujarat,Ahmedabad,Locality_35,Independent House,3,3491,446.56,0.13,1992,Semi-furnished,6,9,33,6,2,Medium,Yes,No,"Gym, Playground",East,Owner,Ready_to_Move
203947,Haryana,Gurgaon,Locality_481,Apartment,5,3516,313.19,0.09,2008,Unfurnished,18,8,17,7,5,Low,Yes,Yes,Pool,East,Owner,Ready_to_Move
203948,Uttarakhand,Haridwar,Locality_488,Apartment,3,4247,376.52,0.09,2015,Semi-furnished,30,30,10,10,2,Medium,Yes,No,"Playground, Pool, Gym",East,Owner,Under_Construction
203949,Haryana,Faridabad,Locality_433,Apartment,2,4683,358.41,0.08,1994,Furnished,30,30,31,8,1,High,Yes,Yes,"Gym, Playground, Pool, Clubhouse",West,Owner,Ready_to_Move
203950,Karnataka,Mysore,Locality_465,Independent House,4,3832,202.24,0.05,2014,Unfurnished,22,22,11,7,8,Low,No,No,"Clubhouse, Gym, Pool",East,Broker,Ready_to_Move
203951,Telangana,Warangal,Locality_24,Apartment,5,4074,299.02,0.07,2004,Furnished,12,22,21,5,5,Medium,No,Yes,"Playground, Pool",East,Broker,Ready_to_Move
203952,Assam,Silchar,Locality_99,Apartment,4,4104,12.66,0.0,2009,Unfurnished,5,29,16,7,1,Medium,Yes,Yes,"Garden, Gym, Clubhouse",East,Broker,Ready_to_Move
203953,Assam,Silchar,Locality_114,Villa,3,1079,93.66,0.09,2017,Semi-furnished,29,15,8,5,3,Low,Yes,No,Playground,North,Builder,Ready_to_Move
203954,Assam,Guwahati,Locality_309,Villa,2,2812,429.01,0.15,2008,Furnished,0,1,17,7,1,Low,No,Yes,"Playground, Clubhouse",West,Builder,Under_Construction
203955,Karnataka,Bangalore,Locality_245,Villa,1,3307,161.28,0.05,2012,Unfurnished,1,18,13,6,5,High,Yes,No,"Playground, Pool, Garden, Gym, Clubhouse",South,Broker,Under_Construction
203956,Assam,Silchar,Locality_68,Villa,3,932,477.62,0.51,2012,Semi-furnished,14,8,13,4,2,Low,No,Yes,"Clubhouse, Garden, Playground",South,Owner,Ready_to_Move
203957,West Bengal,Kolkata,Locality_216,Independent House,4,1043,422.94,0.41,2021,Furnished,18,25,4,4,10,High,Yes,No,"Garden, Playground, Clubhouse, Pool",East,Broker,Ready_to_Move
203958,Bihar,Gaya,Locality_351,Apartment,5,1692,150.15,0.09,2010,Unfurnished,1,4,15,6,7,High,Yes,Yes,Playground,North,Builder,Ready_to_Move
203959,Gujarat,Ahmedabad,Locality_495,Apartment,5,1505,274.91,0.18,1991,Unfurnished,1,17,34,10,5,Medium,No,No,"Pool, Garden, Clubhouse, Playground",West,Owner,Under_Construction
203960,Maharashtra,Mumbai,Locality_296,Apartment,4,1863,148.52,0.08,2017,Unfurnished,5,19,8,5,1,High,Yes,No,"Gym, Garden, Pool, Playground",East,Builder,Ready_to_Move
203961,Rajasthan,Jodhpur,Locality_72,Independent House,5,4278,481.33,0.11,2006,Unfurnished,8,15,19,7,2,Medium,Yes,No,"Playground, Clubhouse",North,Broker,Under_Construction
203962,Punjab,Amritsar,Locality_135,Apartment,3,4119,52.3,0.01,2020,Furnished,7,15,5,2,9,Low,No,No,"Clubhouse, Garden, Gym",East,Builder,Under_Construction
203963,Uttarakhand,Haridwar,Locality_227,Apartment,5,716,497.12,0.69,2008,Semi-furnished,2,28,17,5,6,Medium,Yes,No,Playground,North,Owner,Under_Construction
203964,West Bengal,Kolkata,Locality_369,Independent House,1,1798,414.11,0.23,2019,Furnished,4,23,6,7,10,High,Yes,Yes,"Pool, Clubhouse",East,Builder,Ready_to_Move
203965,Karnataka,Mysore,Locality_184,Villa,3,4337,251.31,0.06,2015,Unfurnished,5,12,10,1,10,Low,Yes,Yes,"Clubhouse, Pool, Playground, Garden",North,Owner,Ready_to_Move
203966,Telangana,Warangal,Locality_450,Villa,2,2586,389.52,0.15,2004,Furnished,27,5,21,1,2,Medium,Yes,Yes,Gym,East,Builder,Under_Construction
203967,Karnataka,Bangalore,Locality_100,Independent House,2,4632,365.1,0.08,2009,Unfurnished,10,20,16,9,8,Medium,No,Yes,Garden,North,Builder,Under_Construction
203968,Uttarakhand,Haridwar,Locality_347,Villa,4,2319,259.94,0.11,2009,Unfurnished,15,12,16,4,8,High,No,No,"Clubhouse, Playground",South,Builder,Under_Construction
203969,Maharashtra,Mumbai,Locality_109,Independent House,5,1743,199.14,0.11,2003,Unfurnished,8,5,22,10,1,Low,Yes,Yes,"Pool, Garden",East,Broker,Ready_to_Move
203970,Delhi,New Delhi,Locality_137,Independent House,2,1396,168.48,0.12,2002,Unfurnished,8,28,23,5,4,Medium,No,No,Pool,West,Owner,Under_Construction
203971,Rajasthan,Jodhpur,Locality_391,Villa,3,2869,17.3,0.01,1996,Semi-furnished,16,28,29,5,10,Medium,No,Yes,Pool,North,Owner,Under_Construction
203972,Uttarakhand,Haridwar,Locality_136,Independent House,1,2671,438.92,0.16,2003,Unfurnished,22,23,22,3,8,High,No,Yes,Gym,South,Owner,Ready_to_Move
203973,Assam,Guwahati,Locality_65,Villa,2,2234,404.92,0.18,2010,Semi-furnished,15,23,15,7,5,High,Yes,Yes,Pool,South,Broker,Ready_to_Move
203974,Haryana,Faridabad,Locality_17,Villa,4,2517,423.4,0.17,1990,Semi-furnished,23,10,35,2,9,Medium,No,Yes,"Gym, Garden, Clubhouse, Playground",West,Broker,Under_Construction
203975,Chhattisgarh,Raipur,Locality_396,Villa,1,1812,395.33,0.22,2016,Furnished,29,27,9,2,4,Low,No,No,"Garden, Playground, Clubhouse, Pool, Gym",West,Owner,Under_Construction
203976,Bihar,Gaya,Locality_262,Independent House,5,3498,236.22,0.07,1995,Unfurnished,25,25,30,7,9,Medium,No,Yes,"Gym, Pool, Playground, Clubhouse",South,Broker,Under_Construction
203977,Gujarat,Ahmedabad,Locality_102,Villa,4,3528,358.71,0.1,2006,Unfurnished,29,5,19,10,7,Medium,Yes,No,Pool,South,Builder,Ready_to_Move
203978,Uttar Pradesh,Lucknow,Locality_346,Independent House,4,761,414.64,0.54,2015,Unfurnished,21,13,10,3,3,Low,Yes,Yes,"Playground, Clubhouse, Gym, Garden",South,Broker,Ready_to_Move
203979,Chhattisgarh,Bilaspur,Locality_288,Apartment,5,3550,65.55,0.02,2001,Unfurnished,5,5,24,9,8,High,No,Yes,"Garden, Clubhouse, Gym, Playground",North,Broker,Ready_to_Move
203980,Delhi,Dwarka,Locality_346,Apartment,2,2924,134.25,0.05,2023,Furnished,17,17,2,5,6,Medium,Yes,No,"Pool, Gym",West,Broker,Ready_to_Move
203981,Kerala,Trivandrum,Locality_13,Independent House,2,1408,239.86,0.17,1999,Unfurnished,10,17,26,10,8,Low,No,Yes,"Garden, Clubhouse, Pool, Playground",East,Builder,Ready_to_Move
203982,Telangana,Warangal,Locality_296,Apartment,4,2834,284.89,0.1,2006,Semi-furnished,4,5,19,3,3,High,Yes,Yes,"Gym, Playground, Garden, Clubhouse",East,Builder,Under_Construction
203983,Punjab,Amritsar,Locality_350,Independent House,5,1628,397.48,0.24,2006,Furnished,6,28,19,4,5,Low,Yes,Yes,"Gym, Clubhouse, Pool",East,Builder,Ready_to_Move
203984,Rajasthan,Jaipur,Locality_120,Independent House,3,4953,289.56,0.06,1994,Furnished,7,14,31,10,9,High,No,Yes,Pool,North,Broker,Under_Construction
203985,Maharashtra,Pune,Locality_463,Apartment,5,4980,423.83,0.09,2012,Furnished,13,26,13,9,2,High,Yes,Yes,"Playground, Pool, Clubhouse, Garden",North,Builder,Under_Construction
203986,Maharashtra,Nagpur,Locality_139,Apartment,5,3245,48.65,0.01,1996,Furnished,19,9,29,8,4,High,Yes,Yes,"Clubhouse, Playground, Garden, Gym, Pool",South,Owner,Ready_to_Move
203987,Odisha,Cuttack,Locality_354,Villa,2,2091,343.28,0.16,2005,Furnished,20,14,20,2,3,Medium,Yes,Yes,"Garden, Clubhouse, Gym",South,Builder,Ready_to_Move
203988,Gujarat,Surat,Locality_288,Villa,3,4182,255.18,0.06,1993,Semi-furnished,23,16,32,5,8,High,Yes,No,"Pool, Clubhouse, Garden",North,Builder,Ready_to_Move
203989,Gujarat,Ahmedabad,Locality_342,Villa,3,3773,493.13,0.13,1993,Unfurnished,29,11,32,7,4,High,Yes,Yes,"Garden, Clubhouse, Playground, Pool, Gym",North,Owner,Ready_to_Move
203990,Delhi,Dwarka,Locality_70,Independent House,2,771,394.35,0.51,2008,Semi-furnished,16,14,17,3,10,High,No,Yes,"Garden, Clubhouse",West,Broker,Ready_to_Move
203991,Madhya Pradesh,Bhopal,Locality_248,Villa,2,4706,338.5,0.07,2009,Semi-furnished,10,14,16,1,1,High,Yes,Yes,"Playground, Gym, Garden, Clubhouse, Pool",South,Owner,Under_Construction
203992,Rajasthan,Jaipur,Locality_256,Independent House,4,1656,140.54,0.08,1998,Semi-furnished,28,26,27,2,3,High,Yes,Yes,"Playground, Gym",North,Broker,Under_Construction
203993,Bihar,Gaya,Locality_163,Apartment,4,3772,82.92,0.02,2019,Unfurnished,18,17,6,7,10,Medium,Yes,Yes,"Playground, Gym, Pool",South,Builder,Under_Construction
203994,Rajasthan,Jaipur,Locality_324,Apartment,4,2917,272.98,0.09,2023,Furnished,29,4,2,1,4,Medium,Yes,Yes,"Clubhouse, Garden, Gym",West,Owner,Ready_to_Move
203995,Haryana,Faridabad,Locality_305,Villa,2,4541,464.18,0.1,2002,Furnished,30,30,23,10,10,Medium,Yes,No,"Pool, Clubhouse",North,Broker,Under_Construction
203996,Uttar Pradesh,Noida,Locality_143,Independent House,2,1826,393.19,0.22,2018,Furnished,19,12,7,3,10,Low,No,No,"Gym, Garden",North,Owner,Under_Construction
203997,Tamil Nadu,Chennai,Locality_120,Independent House,1,2765,420.43,0.15,2008,Semi-furnished,16,14,17,9,9,Medium,Yes,No,Pool,East,Owner,Ready_to_Move
203998,Haryana,Gurgaon,Locality_227,Villa,2,1958,245.23,0.13,2006,Furnished,3,11,19,5,10,Medium,Yes,No,Playground,West,Builder,Under_Construction
203999,Gujarat,Ahmedabad,Locality_364,Apartment,4,3465,239.19,0.07,2018,Unfurnished,12,22,7,8,1,Medium,Yes,No,"Gym, Garden, Clubhouse, Playground",West,Builder,Under_Construction
204000,Uttarakhand,Haridwar,Locality_299,Independent House,4,4083,238.42,0.06,1992,Semi-furnished,6,1,33,10,10,Medium,Yes,Yes,"Garden, Playground, Clubhouse, Pool",East,Broker,Ready_to_Move
204001,Kerala,Kochi,Locality_353,Villa,5,2743,403.25,0.15,2017,Furnished,10,24,8,6,10,High,Yes,No,"Gym, Clubhouse, Playground, Garden",North,Broker,Ready_to_Move
204002,Telangana,Warangal,Locality_311,Independent House,2,4397,412.33,0.09,2001,Semi-furnished,6,2,24,10,2,Medium,Yes,No,Gym,North,Builder,Ready_to_Move
204003,Maharashtra,Pune,Locality_238,Villa,2,600,319.71,0.53,1990,Semi-furnished,14,9,35,5,8,High,Yes,No,"Gym, Clubhouse, Pool, Playground",East,Builder,Under_Construction
204004,Andhra Pradesh,Vishakhapatnam,Locality_319,Villa,5,4748,439.38,0.09,1990,Semi-furnished,16,28,35,7,9,Medium,Yes,Yes,Clubhouse,East,Broker,Ready_to_Move
204005,Jharkhand,Jamshedpur,Locality_169,Independent House,1,3732,480.31,0.13,2020,Unfurnished,3,13,5,1,9,Low,No,No,"Garden, Gym, Playground",West,Broker,Ready_to_Move
204006,Odisha,Bhubaneswar,Locality_379,Independent House,5,2218,90.51,0.04,2011,Unfurnished,11,19,14,2,3,Medium,Yes,No,"Clubhouse, Gym, Pool, Playground",South,Builder,Ready_to_Move
204007,Delhi,New Delhi,Locality_153,Independent House,5,707,226.67,0.32,2013,Unfurnished,14,5,12,9,5,Low,Yes,No,"Pool, Garden, Gym",East,Owner,Ready_to_Move
204008,Haryana,Faridabad,Locality_51,Villa,1,3550,262.29,0.07,1997,Semi-furnished,27,7,28,5,6,Medium,No,Yes,"Garden, Gym",East,Builder,Ready_to_Move
204009,Kerala,Kochi,Locality_6,Villa,2,3170,283.27,0.09,2016,Semi-furnished,15,29,9,2,10,Low,No,Yes,"Playground, Garden, Clubhouse",West,Broker,Under_Construction
204010,Andhra Pradesh,Vijayawada,Locality_164,Independent House,3,670,109.28,0.16,2013,Semi-furnished,9,17,12,4,4,Low,Yes,Yes,"Clubhouse, Playground, Garden",West,Owner,Ready_to_Move
204011,Tamil Nadu,Chennai,Locality_50,Apartment,1,2892,337.1,0.12,2019,Semi-furnished,20,26,6,5,5,Medium,No,No,"Playground, Gym",East,Owner,Ready_to_Move
204012,West Bengal,Durgapur,Locality_92,Apartment,5,3277,348.32,0.11,1990,Semi-furnished,6,10,35,2,5,Medium,No,No,"Garden, Pool, Clubhouse, Gym",South,Builder,Under_Construction
204013,Punjab,Ludhiana,Locality_439,Villa,3,2912,253.9,0.09,2016,Unfurnished,16,6,9,4,5,Medium,No,Yes,Garden,East,Owner,Under_Construction
204014,Tamil Nadu,Coimbatore,Locality_139,Apartment,1,4870,32.68,0.01,2013,Furnished,21,1,12,7,10,Low,Yes,Yes,"Playground, Gym, Pool, Garden, Clubhouse",West,Broker,Ready_to_Move
204015,Maharashtra,Nagpur,Locality_422,Independent House,1,2544,427.04,0.17,1998,Semi-furnished,28,21,27,8,4,Low,Yes,Yes,"Pool, Clubhouse",East,Builder,Under_Construction
204016,Rajasthan,Jodhpur,Locality_444,Villa,5,4807,164.38,0.03,2000,Semi-furnished,28,19,25,9,9,Low,Yes,No,"Clubhouse, Garden, Gym, Playground, Pool",North,Builder,Under_Construction
204017,Punjab,Ludhiana,Locality_462,Villa,4,1608,479.22,0.3,2007,Unfurnished,26,29,18,1,1,Low,No,No,"Clubhouse, Gym, Garden, Pool, Playground",South,Builder,Under_Construction
204018,Odisha,Bhubaneswar,Locality_408,Apartment,4,3482,256.81,0.07,2009,Semi-furnished,21,20,16,8,9,Medium,Yes,Yes,"Pool, Clubhouse, Garden",West,Broker,Under_Construction
204019,Gujarat,Surat,Locality_244,Independent House,4,4801,86.49,0.02,1992,Semi-furnished,14,10,33,3,1,Low,No,No,Pool,West,Owner,Under_Construction
204020,Assam,Guwahati,Locality_216,Villa,1,4473,54.85,0.01,2000,Semi-furnished,2,18,25,9,6,Medium,Yes,No,Pool,East,Builder,Under_Construction
204021,Maharashtra,Mumbai,Locality_191,Villa,5,1901,197.81,0.1,1997,Semi-furnished,14,13,28,7,9,Medium,Yes,No,Pool,West,Broker,Under_Construction
204022,Jharkhand,Jamshedpur,Locality_323,Independent House,3,4520,30.7,0.01,2013,Furnished,3,9,12,1,3,Medium,No,Yes,"Garden, Playground",South,Broker,Under_Construction
204023,Jharkhand,Ranchi,Locality_478,Apartment,1,2020,461.56,0.23,2006,Unfurnished,1,6,19,7,1,High,No,Yes,"Playground, Pool",West,Owner,Ready_to_Move
204024,Uttarakhand,Dehradun,Locality_475,Villa,3,871,165.56,0.19,1992,Semi-furnished,1,8,33,8,5,Low,No,No,"Garden, Playground",South,Broker,Under_Construction
204025,Karnataka,Mysore,Locality_76,Independent House,2,1624,280.35,0.17,2020,Furnished,14,17,5,4,8,Low,No,No,"Playground, Garden, Pool",West,Broker,Under_Construction
204026,Gujarat,Ahmedabad,Locality_60,Apartment,3,3522,257.06,0.07,2017,Furnished,26,5,8,4,6,Low,Yes,No,"Garden, Pool",South,Builder,Under_Construction
204027,Karnataka,Bangalore,Locality_441,Apartment,5,1526,264.82,0.17,2008,Unfurnished,23,15,17,9,3,Medium,Yes,Yes,"Pool, Gym, Clubhouse, Garden",West,Owner,Under_Construction
204028,Bihar,Gaya,Locality_431,Villa,4,4871,132.79,0.03,1997,Furnished,27,20,28,1,4,High,No,No,"Clubhouse, Gym, Playground, Pool, Garden",South,Broker,Ready_to_Move
204029,Uttar Pradesh,Noida,Locality_433,Apartment,1,3892,17.9,0.0,1996,Semi-furnished,16,20,29,8,8,Low,Yes,Yes,Pool,North,Builder,Under_Construction
204030,Odisha,Cuttack,Locality_13,Independent House,2,1584,413.89,0.26,2015,Semi-furnished,13,26,10,9,5,High,No,Yes,"Pool, Playground",West,Broker,Under_Construction
204031,Delhi,Dwarka,Locality_169,Villa,2,3956,237.7,0.06,2010,Furnished,17,16,15,8,6,High,Yes,No,"Gym, Garden, Playground, Pool, Clubhouse",South,Builder,Under_Construction
204032,Gujarat,Ahmedabad,Locality_220,Apartment,1,1040,380.06,0.37,2008,Unfurnished,16,7,17,8,5,Medium,Yes,No,"Pool, Gym, Garden, Clubhouse, Playground",South,Builder,Under_Construction
204033,Chhattisgarh,Bilaspur,Locality_297,Villa,2,4750,164.0,0.03,2009,Furnished,0,10,16,10,9,Medium,No,No,"Gym, Clubhouse, Garden",West,Broker,Under_Construction
204034,Punjab,Amritsar,Locality_256,Independent House,4,1336,218.2,0.16,1993,Furnished,0,5,32,10,9,Low,Yes,Yes,Pool,West,Builder,Under_Construction
204035,Uttarakhand,Haridwar,Locality_319,Independent House,4,4906,202.47,0.04,2011,Semi-furnished,21,21,14,7,8,Medium,Yes,No,"Garden, Clubhouse",South,Builder,Ready_to_Move
204036,Rajasthan,Jaipur,Locality_433,Villa,3,1058,19.58,0.02,2023,Unfurnished,15,14,2,6,9,Medium,Yes,No,"Gym, Playground, Pool",East,Broker,Under_Construction
204037,Bihar,Gaya,Locality_249,Apartment,5,1581,443.98,0.28,2020,Unfurnished,29,27,5,4,1,Low,No,No,Playground,West,Owner,Ready_to_Move
204038,Tamil Nadu,Coimbatore,Locality_391,Apartment,4,4196,56.11,0.01,2020,Semi-furnished,13,25,5,4,7,High,Yes,No,"Clubhouse, Pool, Playground, Gym, Garden",East,Owner,Under_Construction
204039,Bihar,Gaya,Locality_155,Villa,1,2568,109.29,0.04,2009,Unfurnished,30,1,16,4,3,Medium,Yes,Yes,"Pool, Clubhouse, Garden",South,Builder,Under_Construction
204040,Telangana,Warangal,Locality_381,Apartment,1,3621,22.11,0.01,1998,Semi-furnished,25,24,27,7,5,Low,No,No,"Pool, Playground",West,Owner,Ready_to_Move
204041,Uttar Pradesh,Lucknow,Locality_474,Villa,2,3667,383.98,0.1,2019,Furnished,7,14,6,8,8,Medium,Yes,No,"Gym, Playground",West,Owner,Under_Construction
204042,Assam,Silchar,Locality_386,Villa,1,828,495.71,0.6,2006,Semi-furnished,6,24,19,7,6,Low,No,Yes,"Playground, Gym, Clubhouse",West,Builder,Ready_to_Move
204043,Uttar Pradesh,Lucknow,Locality_208,Independent House,1,542,208.71,0.39,2015,Semi-furnished,22,30,10,1,4,High,No,No,"Playground, Pool, Garden",East,Owner,Ready_to_Move
204044,Rajasthan,Jodhpur,Locality_231,Independent House,5,1047,157.15,0.15,2007,Furnished,0,5,18,9,10,High,Yes,No,"Gym, Pool, Clubhouse, Playground, Garden",West,Builder,Under_Construction
204045,Rajasthan,Jaipur,Locality_72,Villa,5,1218,359.3,0.29,1997,Unfurnished,8,14,28,4,4,Low,Yes,No,"Clubhouse, Pool",East,Broker,Under_Construction
204046,Andhra Pradesh,Vishakhapatnam,Locality_366,Independent House,1,3942,382.44,0.1,1994,Semi-furnished,13,14,31,2,7,Medium,No,No,"Gym, Garden, Clubhouse, Pool, Playground",East,Owner,Ready_to_Move
204047,Chhattisgarh,Bilaspur,Locality_42,Independent House,4,1713,389.18,0.23,1995,Semi-furnished,3,12,30,10,1,High,No,No,Clubhouse,East,Owner,Under_Construction
204048,Rajasthan,Jaipur,Locality_318,Independent House,5,3662,195.83,0.05,2002,Furnished,30,16,23,8,5,High,Yes,No,Pool,West,Broker,Ready_to_Move
204049,Jharkhand,Ranchi,Locality_472,Villa,2,1432,445.45,0.31,2010,Semi-furnished,27,15,15,6,9,High,No,Yes,Garden,South,Owner,Ready_to_Move
204050,Punjab,Ludhiana,Locality_343,Apartment,3,2263,75.44,0.03,2004,Unfurnished,8,23,21,6,4,High,No,No,Clubhouse,West,Owner,Under_Construction
204051,West Bengal,Kolkata,Locality_377,Independent House,3,2666,41.63,0.02,1992,Furnished,13,19,33,3,10,Low,No,Yes,Gym,West,Builder,Ready_to_Move
204052,Jharkhand,Ranchi,Locality_258,Villa,3,1334,374.23,0.28,2002,Furnished,11,3,23,2,2,Medium,Yes,No,"Clubhouse, Playground, Gym, Garden, Pool",South,Builder,Ready_to_Move
204053,Delhi,New Delhi,Locality_389,Independent House,5,3634,271.73,0.07,2007,Unfurnished,9,21,18,1,4,Medium,No,No,"Playground, Pool, Clubhouse, Garden, Gym",East,Builder,Ready_to_Move
204054,Assam,Guwahati,Locality_88,Villa,4,1467,190.45,0.13,2010,Unfurnished,8,4,15,6,2,Medium,No,Yes,"Playground, Garden, Pool, Gym",North,Owner,Under_Construction
204055,Maharashtra,Pune,Locality_366,Villa,1,2635,443.18,0.17,2012,Semi-furnished,12,8,13,9,1,High,Yes,Yes,"Playground, Clubhouse, Pool",East,Broker,Under_Construction
204056,Telangana,Warangal,Locality_92,Villa,2,2289,399.85,0.17,2010,Unfurnished,26,6,15,3,5,High,Yes,Yes,"Playground, Pool",North,Builder,Under_Construction
204057,Karnataka,Mangalore,Locality_62,Independent House,2,2712,67.75,0.02,2014,Furnished,21,14,11,5,7,Medium,Yes,No,"Clubhouse, Garden",West,Owner,Under_Construction
204058,Punjab,Amritsar,Locality_142,Independent House,2,808,344.1,0.43,1993,Semi-furnished,1,13,32,1,5,Medium,No,No,Pool,North,Owner,Ready_to_Move
204059,Punjab,Amritsar,Locality_378,Apartment,1,1292,184.61,0.14,2010,Furnished,4,26,15,5,1,Low,Yes,No,"Pool, Playground, Gym",South,Broker,Ready_to_Move
204060,Jharkhand,Ranchi,Locality_491,Villa,5,3615,334.39,0.09,2013,Unfurnished,4,28,12,4,2,Medium,No,No,"Gym, Garden, Clubhouse, Pool",South,Builder,Under_Construction
204061,Assam,Silchar,Locality_11,Villa,1,903,11.58,0.01,2018,Unfurnished,29,9,7,7,5,High,Yes,Yes,"Pool, Gym",West,Broker,Under_Construction
204062,West Bengal,Durgapur,Locality_362,Independent House,2,1606,200.17,0.12,2019,Furnished,15,28,6,1,3,High,Yes,Yes,"Pool, Playground, Garden, Clubhouse",West,Owner,Under_Construction
204063,Madhya Pradesh,Bhopal,Locality_373,Apartment,3,2832,225.65,0.08,2002,Unfurnished,12,18,23,7,10,Low,No,Yes,Pool,East,Owner,Ready_to_Move
204064,Uttarakhand,Dehradun,Locality_271,Independent House,3,2027,355.36,0.18,2018,Semi-furnished,17,18,7,9,10,Low,Yes,Yes,"Gym, Garden, Clubhouse",East,Broker,Under_Construction
204065,Madhya Pradesh,Bhopal,Locality_91,Villa,3,1215,201.03,0.17,2010,Semi-furnished,23,14,15,7,8,Medium,Yes,No,Gym,East,Builder,Ready_to_Move
204066,Andhra Pradesh,Vishakhapatnam,Locality_311,Independent House,1,2413,162.77,0.07,2002,Semi-furnished,18,17,23,9,7,Medium,Yes,No,"Garden, Playground, Gym, Clubhouse",South,Broker,Under_Construction
204067,Punjab,Amritsar,Locality_379,Villa,5,503,404.27,0.8,2000,Semi-furnished,30,21,25,10,7,High,Yes,Yes,Playground,North,Broker,Ready_to_Move
204068,Karnataka,Bangalore,Locality_245,Independent House,1,2339,297.85,0.13,2012,Semi-furnished,22,29,13,6,3,Low,No,No,Pool,North,Builder,Under_Construction
204069,Madhya Pradesh,Indore,Locality_13,Apartment,2,3296,23.27,0.01,2009,Semi-furnished,6,16,16,2,10,Low,No,Yes,"Pool, Gym, Playground",North,Builder,Under_Construction
204070,Gujarat,Ahmedabad,Locality_183,Independent House,5,1408,73.75,0.05,2017,Unfurnished,4,20,8,3,6,Low,Yes,Yes,Playground,South,Owner,Under_Construction
204071,Punjab,Amritsar,Locality_383,Independent House,2,3102,305.22,0.1,1990,Furnished,11,9,35,8,1,Low,Yes,No,"Playground, Clubhouse, Pool, Garden, Gym",East,Builder,Under_Construction
204072,Punjab,Amritsar,Locality_224,Villa,5,1694,277.28,0.16,1998,Unfurnished,8,28,27,7,9,High,Yes,No,"Clubhouse, Playground, Gym",South,Broker,Under_Construction
204073,Uttarakhand,Dehradun,Locality_276,Villa,2,4081,369.74,0.09,2007,Semi-furnished,3,18,18,1,5,Low,No,Yes,"Garden, Pool, Playground, Gym",West,Owner,Under_Construction
204074,Assam,Silchar,Locality_212,Apartment,4,1080,72.3,0.07,2006,Unfurnished,6,7,19,3,6,Medium,Yes,No,"Playground, Pool, Garden, Clubhouse, Gym",South,Owner,Under_Construction
204075,Uttarakhand,Dehradun,Locality_249,Apartment,1,3494,439.23,0.13,2000,Semi-furnished,5,9,25,7,6,High,Yes,No,"Pool, Playground, Clubhouse, Garden",North,Owner,Under_Construction
204076,Assam,Guwahati,Locality_416,Apartment,1,2760,264.41,0.1,2013,Unfurnished,20,16,12,9,1,Medium,Yes,No,"Pool, Playground, Gym, Garden",West,Broker,Under_Construction
204077,Punjab,Amritsar,Locality_333,Villa,2,1156,196.2,0.17,2014,Unfurnished,6,15,11,6,8,Low,No,Yes,"Playground, Garden, Clubhouse, Pool, Gym",West,Broker,Under_Construction
204078,Karnataka,Bangalore,Locality_63,Villa,3,1058,372.94,0.35,2000,Semi-furnished,24,5,25,6,8,Low,Yes,Yes,"Gym, Pool, Clubhouse",North,Broker,Ready_to_Move
204079,Tamil Nadu,Coimbatore,Locality_407,Villa,2,545,483.83,0.89,2001,Furnished,6,25,24,9,10,High,No,Yes,"Gym, Garden, Clubhouse, Playground",South,Owner,Ready_to_Move
204080,Bihar,Patna,Locality_409,Apartment,5,4541,278.06,0.06,2022,Furnished,24,1,3,9,10,High,No,Yes,"Pool, Garden, Clubhouse, Gym, Playground",South,Broker,Under_Construction
204081,Kerala,Trivandrum,Locality_87,Apartment,4,2865,323.8,0.11,2003,Unfurnished,24,15,22,10,9,High,Yes,No,"Pool, Garden, Playground, Gym",North,Broker,Ready_to_Move
204082,Maharashtra,Mumbai,Locality_311,Independent House,4,4365,387.84,0.09,2002,Unfurnished,9,21,23,7,9,Medium,No,No,"Clubhouse, Garden, Gym, Playground, Pool",North,Builder,Under_Construction
204083,Telangana,Hyderabad,Locality_168,Villa,4,1458,147.88,0.1,1995,Unfurnished,24,28,30,3,1,High,Yes,No,"Playground, Garden",South,Builder,Ready_to_Move
204084,Rajasthan,Jodhpur,Locality_39,Apartment,1,2955,127.81,0.04,2015,Semi-furnished,18,26,10,10,8,Medium,No,No,Pool,South,Broker,Ready_to_Move
